id,burst_time,priority,arrival_time,turnaround_time,cpu_time_acquired,waiting_time
130,16,14,472,1089112,16,1089096
131,13,-6,159,460343,13,460330
132,18,-15,670,182761,18,182743
133,9,-3,420,539692,9,539683
134,17,-3,827,560401,17,560384
135,10,-5,107,470471,10,470461
136,18,7,668,871947,18,871929
137,11,-4,539,526179,11,526168
138,20,-12,764,278134,20,278114
139,7,5,709,796395,7,796388
140,12,1,293,682164,12,682152
141,19,-13,551,245096,19,245077
142,14,5,345,806321,14,806307
143,10,6,622,826344,10,826334
144,14,11,923,997600,14,997586
145,16,-11,468,307496,16,307480
146,6,4,757,767093,6,767087
147,5,-12,296,255990,5,255985
148,10,5,355,788857,10,788847
149,11,-2,659,590075,11,590064
150,19,12,908,1028995,19,1028976
151,10,17,452,1165017,10,1165007
152,13,-18,458,88721,13,88708
153,18,-3,774,560017,18,559999
154,12,0,806,654451,12,654439
155,18,18,128,1209957,18,1209939
156,20,-6,990,466685,20,466665
157,11,-19,582,58633,11,58622
158,15,10,726,965449,15,965434
159,10,-12,261,255097,10,255087
160,8,3,164,722308,8,722300
161,12,-14,55,209734,12,209722
162,12,-7,319,430763,12,430751
163,15,0,224,649927,15,649912
164,11,18,234,1210835,11,1210824
165,16,3,616,746440,16,746424
166,6,14,687,1077469,6,1077463
167,19,1,531,684080,19,684061
168,14,13,971,1060429,14,1060415
169,12,13,201,1054724,12,1054712
170,16,3,307,744242,16,744226
171,6,-14,45,187542,6,187536
172,8,1,598,670237,8,670229
173,12,-5,747,496503,12,496491
174,15,-1,536,620834,15,620819
175,10,3,3,718926,10,718916
176,11,-11,340,306440,11,306429
177,15,-20,596,27327,15,27312
178,16,2,267,712560,16,712544
179,14,-16,717,152162,14,152148
180,20,15,747,1122351,20,1122331
181,5,-8,731,391023,5,391018
182,6,10,495,947983,6,947977
183,5,2,742,704242,5,704237
184,17,2,823,716618,17,716601
185,11,2,573,714876,11,714865
186,12,-4,518,526021,12,526009
187,7,-5,399,476705,7,476698
188,19,7,820,872927,19,872908
189,14,-15,200,179181,14,179167
190,10,2,951,708468,10,708458
191,20,10,975,967289,20,967269
192,20,-8,274,399801,20,399781
193,15,0,935,655345,15,655330
194,17,-2,824,591391,17,591374
195,18,-19,703,59452,18,59434
196,17,-6,654,464129,17,464112
197,11,6,925,843115,11,843104
198,14,-6,337,461771,14,461757
199,6,-6,477,447005,6,446999
200,17,-13,779,246848,17,246831
201,11,-11,430,307206,11,307195
202,5,-13,848,236721,5,236716
203,14,12,497,1025695,14,1025681
204,18,3,178,743186,18,743168
205,12,4,10,773355,12,773343
206,19,4,370,775913,19,775894
207,18,11,678,995660,18,995642
208,13,4,825,779350,13,779337
209,8,2,613,701540,8,701532
210,16,3,103,742612,16,742596
211,17,-20,952,29997,17,29980
212,20,17,500,1181627,20,1181607
213,11,17,871,1184528,11,1184517
214,20,-3,108,554554,20,554534
215,14,5,16,803893,14,803879
216,13,6,467,839519,13,839506
217,17,6,54,836179,17,836162
218,20,16,665,1151901,20,1151881
219,19,3,471,745362,19,745343
220,18,19,140,1241897,18,1241879
221,16,2,133,711610,16,711594
222,19,8,356,900774,19,900755
223,10,-10,468,322879,10,322869
224,18,-12,615,276970,18,276952
225,17,-11,27,303861,17,303844
226,12,11,622,995289,12,995277
227,14,-12,626,277049,14,277035
228,19,-12,654,277320,19,277301
229,11,-5,823,496970,11,496959
230,11,15,243,1118585,11,1118574
231,10,3,858,737363,10,737353
232,12,0,335,650550,12,650538
233,5,17,657,1169367,5,1169362
234,5,-8,9,375491,5,375486
235,15,-10,257,336973,15,336958
236,18,7,257,868893,18,868875
237,15,-7,835,434377,15,434362
238,9,5,427,790354,9,790345
239,6,18,428,1195855,6,1195849
240,12,-10,153,336227,12,336215
241,9,9,20,907130,9,907121
242,16,5,482,807344,16,807328
243,13,4,60,773670,13,773657
244,17,-13,989,248489,17,248472
245,10,17,234,1160160,10,1160150
246,11,-18,708,90390,11,90379
247,14,1,890,686734,14,686720
248,17,-12,718,277791,17,277774
249,14,-11,206,305344,14,305330
250,17,-16,660,151799,17,151782
251,6,-17,206,97747,6,97741
252,9,-11,437,290901,9,290892
253,15,15,97,1117507,15,1117492
254,14,-18,996,92449,14,92435
255,13,1,510,683870,13,683857
256,8,-19,393,40013,8,40005
257,18,16,308,1149345,18,1149327
258,17,-16,674,151877,17,151860
259,20,-13,574,245290,20,245270
260,10,10,285,943531,10,943521
261,7,6,422,821886,7,821879
262,17,9,697,934187,17,934170
263,6,3,441,728292,6,728286
264,10,19,985,1239241,10,1239231
265,5,7,432,854077,5,854072
266,16,7,860,873215,16,873199
267,7,-10,290,318784,7,318777
268,19,8,699,903536,19,903517
269,11,14,89,1086130,11,1086119
270,7,-1,594,606846,7,606839
271,9,17,1000,1176820,9,1176811
272,17,12,778,1027822,17,1027805
273,18,16,601,1151342,18,1151324
274,18,-17,549,119621,18,119603
275,13,-14,748,215273,13,215260
276,17,-3,487,557557,17,557540
277,10,10,860,956012,10,956002
278,11,4,358,775803,11,775792
279,17,8,715,903666,17,903649
280,17,10,263,961789,17,961772
281,6,-7,582,418394,6,418388
282,17,17,361,1180675,17,1180658
283,15,7,158,868181,15,868166
284,13,10,273,961876,13,961863
285,6,12,226,1004049,6,1004043
286,7,16,482,1135522,7,1135515
287,5,5,119,784004,5,783999
288,18,-1,6,616543,18,616525
289,14,-7,962,435444,14,435430
290,15,18,263,1211090,15,1211075
291,10,1,209,661757,10,661747
292,6,-12,21,250018,6,250012
293,7,12,529,1010423,7,1010416
294,5,11,408,977247,5,977242
295,18,-18,747,90686,18,90668
296,16,11,156,991925,16,991909
297,12,-9,756,372444,12,372432
298,10,-9,865,362913,10,362903
299,20,14,643,1090442,20,1090422
300,18,4,213,774794,18,774776
301,13,-13,25,241253,13,241240
302,20,-19,742,59856,20,59836
303,17,-15,243,179510,17,179493
304,15,-12,693,277593,15,277578
305,8,18,399,1195243,8,1195235
306,7,-16,210,128578,7,128571
307,13,-11,340,306443,13,306430
308,14,17,604,1182349,14,1182335
309,9,11,282,974319,9,974310
310,20,-6,178,460539,20,460519
311,16,-8,473,401128,16,401112
312,20,-3,491,557600,20,557580
313,6,-4,225,504446,6,504440
314,13,4,137,774246,13,774233
315,9,2,373,696747,9,696738
316,16,-10,7,335159,16,335143
317,10,-16,988,145277,10,145267
318,14,12,610,1026529,14,1026515
319,7,15,629,1107825,7,1107818
320,20,2,173,711910,20,711890
321,5,14,987,1083923,5,1083918
322,11,-3,343,556306,11,556295
323,6,-17,5,93586,6,93580
324,19,10,207,961396,19,961377
325,11,3,363,744609,11,744598
326,6,16,343,1132444,6,1132438
327,9,-1,204,598147,9,598138
328,13,13,723,1058603,13,1058590
329,17,-19,927,60988,17,60971
330,6,-7,180,409689,6,409683
331,6,-16,958,144618,6,144612
332,11,-10,370,337716,11,337705
333,16,-5,545,495065,16,495049
334,5,7,480,855160,5,855155
335,8,-5,477,478305,8,478297
336,6,0,198,629866,6,629860
337,18,-14,634,214502,18,214484
338,13,-7,313,430679,13,430666
339,19,-13,31,241320,19,241301
340,20,-6,681,464312,20,464292
341,10,-17,731,109157,10,109147
342,12,11,620,995280,12,995268
343,19,-12,66,273017,19,272998
344,8,-2,371,570529,8,570521
345,10,10,435,946823,10,946813
346,9,-5,654,482161,9,482152
347,12,1,708,685310,12,685298
348,18,-11,496,307718,18,307700
349,11,-1,283,618781,11,618770
350,8,13,777,1047415,8,1047407
351,10,11,5,968543,10,968533
352,13,16,988,1154160,13,1154147
353,14,10,24,960012,14,959998
354,8,5,981,802342,8,802334
355,5,6,967,834027,5,834022
356,18,8,398,901120,18,901102
357,8,-9,732,359722,8,359714
358,16,19,64,1241250,16,1241234
359,11,-1,572,621053,11,621042
360,19,-12,857,278886,19,278867
361,18,-15,827,183987,18,183969
362,6,18,12,1186824,6,1186818
363,10,10,24,938038,10,938028
364,13,-13,912,247897,13,247884
365,7,3,949,739451,7,739444
366,15,-8,230,399544,15,399529
367,18,12,584,1026348,18,1026330
368,14,3,850,748253,14,748239
369,13,-17,34,115799,13,115786
370,15,-14,511,213477,15,213462
371,6,6,847,831384,6,831378
372,8,11,140,971374,8,971366
373,14,-3,238,555443,14,555429
374,8,8,147,878256,8,878248
375,20,-8,853,403912,20,403892
376,6,-4,122,501964,6,501958
377,18,18,217,1210741,18,1210723
378,5,-15,745,171392,5,171387
379,12,2,979,717735,12,717723
380,8,16,228,1130065,8,1130057
381,16,6,964,843423,16,843407
382,11,-17,99,116341,11,116330
383,11,-3,115,554606,11,554595
384,11,18,819,1214877,11,1214866
385,19,-18,892,91693,19,91674
386,6,10,756,953702,6,953696
387,12,13,174,1054479,12,1054467
388,20,6,319,838236,20,838216
389,9,8,174,878864,9,878855
390,17,5,404,806709,17,806692
391,18,-6,875,465725,18,465707
392,12,-1,884,623356,12,623344
393,14,-5,17,490894,14,490880
394,7,-6,451,446393,7,446386
395,17,-5,6,490813,17,490796
396,14,2,496,714361,14,714347
397,7,7,814,862043,7,862036
398,17,-3,69,554268,17,554251
399,20,-8,92,398607,20,398587
400,20,16,841,1153162,20,1153142
401,20,-14,796,215749,20,215729
402,11,9,494,932655,11,932644
403,7,3,427,727974,7,727967
404,8,17,929,1175217,8,1175209
405,17,-19,688,59370,17,59353
406,10,-19,281,37682,10,37672
407,20,-17,708,120818,20,120798
408,14,11,696,995749,14,995735
409,9,-11,559,293554,9,293545
410,18,-11,388,306839,18,306821
411,14,10,595,964491,14,964477
412,17,11,82,991458,17,991441
413,5,11,452,978065,5,978060
414,16,18,387,1211909,16,1211893
415,20,-10,134,336126,20,336106
416,16,-8,4,397856,16,397840
417,10,3,304,725548,10,725538
418,10,5,747,797218,10,797208
419,8,-7,241,410881,8,410873
420,17,-7,179,429648,17,429631
421,6,8,25,875620,6,875614
422,5,19,60,1218738,5,1218733
423,11,1,626,684773,11,684762
424,9,13,160,1034053,9,1034044
425,20,-8,247,399667,20,399647
426,6,10,519,948568,6,948562
427,7,-19,488,41961,7,41954
428,19,-2,311,587461,19,587442
429,13,17,182,1179238,13,1179225
430,17,-3,999,561736,17,561719
431,5,-2,289,568998,5,568993
432,11,14,795,1091677,11,1091666
433,18,15,963,1123860,18,1123842
434,8,-8,35,376093,8,376085
435,6,1,862,675760,6,675754
436,10,0,233,630494,10,630484
437,11,-18,265,87349,11,87338
438,13,12,610,1026532,13,1026519
439,15,2,964,717678,15,717663
440,5,-1,807,611155,5,611150
441,9,-16,883,142979,9,142970
442,10,18,977,1207495,10,1207485
443,20,6,461,839441,20,839421
444,8,-10,404,321374,8,321366
445,8,-14,833,204679,8,204671
446,17,17,854,1184419,17,1184402
447,18,-20,598,27346,18,27328
448,18,8,87,898595,18,898577
449,5,-15,185,159316,5,159311
450,8,-6,62,438110,8,438102
451,20,10,794,966053,20,966033
452,17,17,693,1183061,17,1183044
453,18,-1,708,622024,18,622006
454,18,-9,404,369711,18,369693
455,6,-8,407,383853,6,383847
456,12,-5,929,497850,12,497838
457,5,-12,997,271363,5,271358
458,15,13,46,1053558,15,1053543
459,20,10,51,960250,20,960230
460,16,5,152,804891,16,804875
461,7,6,661,827193,7,827186
462,6,-8,410,383896,6,383890
463,16,4,970,780360,16,780344
464,15,7,637,871675,15,871660
465,18,3,226,743579,18,743561
466,14,0,628,652978,14,652964
467,9,5,682,795781,9,795772
468,16,-11,890,310665,16,310649
469,11,9,130,930041,11,930030
470,11,0,116,649141,11,649130
471,13,9,877,935565,13,935552
472,13,0,585,652691,13,652678
473,13,15,217,1118428,13,1118415
474,17,11,124,991709,17,991692
475,18,19,595,1245621,18,1245603
476,8,16,969,1145468,8,1145460
477,11,-4,587,526511,11,526500
478,14,4,864,779714,14,779700
479,15,-20,710,28251,15,28236
480,12,-20,411,25915,12,25903
481,20,3,911,748702,20,748682
482,16,-17,321,117868,16,117852
483,7,-9,923,364334,7,364327
484,14,-11,877,310608,14,310594
485,14,16,200,1148543,14,1148529
486,19,3,713,747277,19,747258
487,13,11,881,997272,13,997259
488,10,4,352,758115,10,758105
489,18,-11,440,307279,18,307261
490,13,-8,229,399523,13,399510
491,12,6,182,837125,12,837113
492,7,-1,299,600480,7,600473
493,20,-18,509,89008,20,88988
494,5,-15,896,174429,5,174424
495,11,10,348,962435,11,962424
496,15,1,944,687223,15,687208
497,16,-5,729,496377,16,496361
498,18,1,19,679899,18,679881
499,16,-3,502,557664,16,557648
500,10,-7,455,415590,10,415580
501,20,-1,277,618718,20,618698
502,19,12,152,1023111,19,1023092
503,18,-2,930,592205,18,592187
504,9,1,748,673291,9,673282
505,11,-7,499,432059,11,432048
506,15,-11,708,309259,15,309244
507,13,-20,700,28177,13,28164
508,13,-15,619,182307,13,182294
509,15,-6,701,464512,15,464497
510,5,-9,593,356917,5,356912
511,16,-1,891,623386,16,623370
512,14,13,682,1058368,14,1058354
513,15,-14,572,214022,15,214007
514,17,10,540,963970,17,963953
515,16,19,331,1243447,16,1243431
516,20,-4,854,528346,20,528326
517,5,-10,532,324082,5,324077
518,18,1,325,682479,18,682461
519,11,19,569,1245421,11,1245410
520,15,-2,167,586291,15,586276
521,15,5,61,804274,15,804259
522,19,-5,241,492777,19,492758
523,5,0,218,630207,5,630202
524,15,-18,603,89601,15,89586
525,5,3,300,725405,5,725400
526,6,13,80,1032443,6,1032437
527,6,19,295,1224028,6,1224022
528,5,15,457,1104109,5,1104104
529,12,19,67,1241282,12,1241270
530,7,-1,165,597268,7,597261
531,10,0,1,625174,10,625164
532,19,7,410,870076,19,870057
533,5,15,398,1102860,5,1102855
534,16,15,531,1120632,16,1120616
535,6,-9,642,357803,6,357797
536,20,-8,241,399604,20,399584
537,5,12,242,1004419,5,1004414
538,12,-14,102,210113,12,210101
539,16,-18,312,87688,16,87672
540,19,14,134,1086518,19,1086499
541,6,4,168,754224,6,754218
542,8,17,712,1170458,8,1170450
543,20,-4,194,523568,20,523548
544,12,-10,871,341616,12,341604
545,10,11,519,979541,10,979531
546,6,-18,978,83711,6,83705
547,13,-1,203,618103,13,618090
548,10,-2,898,581991,10,581981
549,17,-13,309,243357,17,243340
550,11,4,492,776770,11,776759
551,13,12,91,1022722,13,1022709
552,5,-9,571,356522,5,356517
553,15,16,897,1153468,15,1153453
554,12,19,941,1248349,12,1248337
555,14,6,674,841182,14,841168
556,15,4,234,774973,15,774958
557,17,-8,347,400345,17,400328
558,13,6,858,842586,13,842573
559,20,5,599,808170,20,808150
560,15,-12,91,273200,15,273185
561,20,-12,834,278670,20,278650
562,10,-6,635,450432,10,450422
563,12,7,195,868387,12,868375
564,17,18,168,1210301,17,1210284
565,19,14,896,1092486,19,1092467
566,9,-2,374,570624,9,570615
567,19,-6,432,462450,19,462431
568,9,-13,702,233224,9,233215
569,19,-13,695,246050,19,246031
570,8,-6,698,451810,8,451802
571,17,3,180,743209,17,743192
572,15,13,283,1055264,15,1055249
573,14,-13,238,242779,14,242765
574,20,-10,675,340195,20,340175
575,16,13,954,1060320,16,1060304
576,5,-20,320,7140,5,7135
577,10,-16,80,125580,10,125570
578,16,-6,615,463838,16,463822
579,13,3,614,746407,13,746394
580,20,-3,421,556923,20,556903
581,10,7,693,859472,10,859462
582,5,-12,639,263347,5,263342
583,9,6,470,823050,9,823041
584,11,-13,713,246260,11,246249
585,8,-14,525,197938,8,197930
586,5,-16,82,125641,5,125636
587,18,7,551,871094,18,871076
588,12,11,648,995450,12,995438
589,18,11,83,991472,18,991454
590,6,-14,345,194169,6,194163
591,5,3,881,737822,5,737817
592,15,12,116,1022894,15,1022879
593,15,9,742,934486,15,934471
594,17,14,681,1090813,17,1090796
595,13,-18,75,85800,13,85787
596,14,8,388,901041,14,901027
597,10,7,501,855504,10,855494
598,19,-5,791,496743,19,496724
599,9,-13,437,227516,9,227507
600,15,5,427,806851,15,806836
601,12,-7,36,428593,12,428581
602,14,16,609,1151396,14,1151382
603,8,13,893,1049939,8,1049931
604,5,16,987,1145763,5,1145758
605,11,-10,96,335844,11,335833
606,15,2,88,711198,15,711183
607,17,6,587,840513,17,840496
608,11,-10,598,339526,11,339515
609,6,-15,360,163162,6,163156
610,6,-18,124,65208,6,65202
611,18,6,0,835736,18,835718
612,6,16,113,1127414,6,1127408
613,8,9,385,914780,8,914772
614,19,-6,725,464682,19,464663
615,15,-12,135,273541,15,273526
616,5,-5,48,468903,5,468898
617,13,-8,494,401271,13,401258
618,20,-2,202,586618,20,586598
619,14,-5,644,495725,14,495711
620,19,0,56,648664,19,648645
621,15,-2,992,592657,15,592642
622,18,-19,579,58605,18,58587
623,15,1,732,685556,15,685541
624,19,19,779,1247099,19,1247080
625,14,-5,727,496355,14,496341
626,13,4,588,777505,13,777492
627,9,5,789,798074,9,798065
628,15,-12,165,273738,15,273723
629,16,-20,296,25110,16,25094
630,16,-13,218,242629,16,242613
631,20,-10,708,340413,20,340393
632,13,-20,618,27488,13,27475
633,14,-14,635,214505,14,214491
634,8,-9,484,354548,8,354540
635,16,-3,524,557910,16,557894
636,8,-11,586,294180,8,294172
637,6,-2,693,577599,6,577593
638,7,-17,469,103471,7,103464
639,9,0,77,626899,9,626890
640,7,9,552,918376,7,918369
641,15,-11,233,305523,15,305508
642,19,2,287,712743,19,712724
643,7,-5,141,471130,7,471123
644,8,-5,349,475790,8,475782
645,5,13,723,1046206,5,1046201
646,16,-7,667,433099,16,433083
647,15,-11,514,307841,15,307826
648,14,11,127,991721,14,991707
649,9,-15,442,164949,9,164940
650,12,11,401,993837,12,993825
651,5,-1,225,598737,5,598732
652,17,-15,221,179329,17,179312
653,15,11,741,996159,15,996144
654,20,5,404,806719,20,806699
655,12,13,274,1055182,12,1055170
656,15,-3,669,559122,15,559107
657,15,9,222,930703,15,930688
658,20,10,652,964959,20,964939
659,5,-12,608,262604,5,262599
660,9,19,872,1236957,9,1236948
661,14,16,257,1148972,14,1148958
662,18,-12,832,278629,18,278611
663,7,10,253,942807,7,942800
664,12,0,555,652408,12,652396
665,18,8,38,898156,18,898138
666,14,2,564,714826,14,714812
667,11,-8,387,400613,11,400602
668,12,2,349,713212,12,713200
669,5,-13,264,223989,5,223984
670,10,-3,448,540444,10,540434
671,5,-10,345,320080,5,320075
672,12,18,767,1214501,12,1214489
673,19,0,178,649590,19,649571
674,13,0,900,655106,13,655093
675,7,18,271,1192817,7,1192810
676,17,13,73,1053774,17,1053757
677,17,2,370,713395,17,713378
678,18,10,213,961438,18,961420
679,15,12,54,1022463,15,1022448
680,13,10,323,962273,13,962260
681,14,-11,278,305895,14,305881
682,15,-19,57,54271,15,54256
683,19,-8,708,402898,19,402879
684,17,15,613,1121269,17,1121252
685,12,14,946,1092872,12,1092860
686,9,13,370,1038652,9,1038643
687,19,-16,454,150385,19,150366
688,5,-4,63,500709,5,500704
689,18,10,228,961562,18,961544
690,6,-19,606,44787,6,44781
691,13,8,648,903108,13,903095
692,9,-18,693,77225,9,77216
693,9,15,689,1109030,9,1109021
694,20,7,592,871378,20,871358
695,20,-9,76,367213,20,367193
696,13,16,860,1153233,13,1153220
697,6,-5,161,471587,6,471581
698,15,-16,890,153504,15,153489
699,15,-6,974,466499,15,466484
700,20,15,101,1117543,20,1117523
701,7,9,517,917711,7,917704
702,9,-12,559,261633,9,261624
703,9,-19,802,48997,9,48988
704,7,-11,202,285499,7,285492
705,16,-13,934,248093,16,248077
706,20,-7,713,433502,20,433482
707,14,-3,901,561021,14,561007
708,19,12,745,1027618,19,1027599
709,16,0,183,649658,16,649642
710,6,-15,358,163143,6,163137
711,20,-10,314,337353,20,337333
712,9,-18,108,64876,9,64867
713,10,2,228,693480,10,693470
714,14,13,839,1059518,14,1059504
715,15,-19,386,56992,15,56977
716,12,-15,943,184963,12,184951
717,9,-5,862,486693,9,486684
718,17,10,273,961883,17,961866
719,8,1,544,669210,8,669202
720,13,-1,651,621612,13,621599
721,15,12,76,1022578,15,1022563
722,18,-3,463,557343,18,557325
723,17,-8,873,404058,17,404041
724,11,-10,724,340520,11,340509
725,14,15,519,1120534,14,1120520
726,16,4,752,778791,16,778775
727,7,-16,421,133080,7,133073
728,10,-15,306,162046,10,162036
729,10,9,448,916088,10,916078
730,18,-15,114,178647,18,178629
731,12,1,67,680285,12,680273
732,14,7,818,872910,14,872896
733,8,14,381,1070230,8,1070222
734,9,-19,470,41659,9,41650
735,6,-2,818,580287,6,580281
736,19,-9,92,367305,19,367286
737,6,0,74,626859,6,626853
738,13,9,583,933351,13,933338
739,12,-15,769,183503,12,183491
740,12,5,952,810794,12,810782
741,18,7,663,871864,18,871846
742,17,15,343,1119315,17,1119298
743,16,0,951,655491,16,655475
744,6,3,978,740282,6,740276
745,11,15,579,1120982,11,1120971
746,12,-6,192,460663,12,460651
747,12,4,388,776021,12,776009
748,15,-9,166,367756,15,367741
749,19,-8,590,401965,19,401946
750,14,17,215,1179476,14,1179462
751,19,-11,145,304871,19,304852
752,15,-9,969,374142,15,374127
753,17,6,20,835967,17,835950
754,20,15,36,1117033,20,1117013
755,12,16,36,1147320,12,1147308
756,7,14,733,1078493,7,1078486
757,20,8,904,905016,20,904996
758,12,14,112,1086358,12,1086346
759,15,-5,597,495450,15,495435
760,20,-5,127,491904,20,491884
761,8,19,1,1217345,8,1217337
762,13,5,725,809065,13,809052
763,10,-3,179,534206,10,534196
764,16,15,51,1117171,16,1117155
765,19,18,310,1211328,19,1211309
766,16,11,636,995378,16,995362
767,17,-4,217,523792,17,523775
768,15,-2,251,587023,15,587008
769,5,2,33,689330,5,689325
770,16,14,828,1091952,16,1091936
771,18,0,366,650808,18,650790
772,6,-11,159,284635,6,284629
773,17,-17,832,121725,17,121708
774,20,-14,749,215285,20,215265
775,12,-6,988,466666,12,466654
776,15,-16,118,147792,15,147777
777,18,10,439,963178,18,963160
778,14,5,562,807867,14,807853
779,18,-16,450,150366,18,150348
780,19,14,726,1091155,19,1091136
781,9,-14,566,198860,9,198851
782,16,0,395,651079,16,651063
783,10,18,49,1187712,10,1187702
784,12,19,712,1246530,12,1246518
785,11,-2,741,590660,11,590649
786,17,-1,988,624092,17,624075
787,19,-3,887,560895,19,560876
788,16,-19,624,58923,16,58907
789,14,-15,476,181300,14,181286
790,12,18,632,1213497,12,1213485
791,10,7,286,850896,10,850886
792,8,6,261,818118,8,818110
793,5,-18,62,63733,5,63728
794,12,11,482,994377,12,994365
795,7,-8,925,395092,7,395085
796,15,10,230,961574,15,961559
797,12,0,861,654757,12,654745
798,16,4,535,777135,16,777119
799,9,-1,284,600151,9,600142
800,15,-4,577,526456,15,526441
801,10,-11,741,297149,10,297139
802,9,14,59,1063092,9,1063083
803,14,-13,484,244535,14,244521
804,8,-9,856,362699,8,362691
805,19,11,894,997371,19,997352
806,13,14,258,1087422,13,1087409
807,19,-18,896,91709,19,91690
808,12,-14,950,216850,12,216838
809,6,11,520,979554,6,979548
810,18,17,157,1178999,18,1178981
811,8,5,717,796526,8,796518
812,17,2,899,717173,17,717156
813,10,14,586,1074802,10,1074792
814,5,12,190,1003276,5,1003271
815,5,18,318,1193604,5,1193599
816,12,3,638,746644,12,746632
817,5,10,492,947941,5,947936
818,19,-9,992,374191,19,374172
819,9,-10,283,318621,9,318612
820,5,-16,277,130026,5,130021
821,17,-4,563,526336,17,526319
822,15,-7,66,428771,15,428756
823,15,3,351,744539,15,744524
824,20,-6,691,464435,20,464415
825,6,-13,933,238566,6,238560
